Periods;house_price_index;construction_costs
1995;93750;
1996;102607;
1997;113163;
1998;124540;
1999;144778;
2000;172050;
2001;188397;
2002;199752;
2003;204829;
2004;212723;
2005;222706;
2006;235843;
2007;248325;
2008;254918;
2009;238259;
2010;239530;
2011;240059;
2012;226661;
2013;213353;
2014;222218;
2015;230194;6668
2016;243837;6854
2017;263295;9473
2018;287267;10316
2019;307978;9091
2020;334488;10910
2021;386714;12865
2022;428591;11511
2023;416153;9907
2024;450985;13110

2025;479527;

